"Qty";"Value";"Device";"Package";"Parts";"Description";"CREATOR";"DATASHEET";"DATASHEET_CONNECTOR";"DIST";"DISTLINK";"DISTLINK_CONNECTOR";"DISTLINK_CONNECTOR1";"DISTLINK_CONNECTOR2";"DISTPN";"DISTPN_CONNECTOR";"DISTPN_CONNECTOR1";"DISTPN_CONNECTOR2";"DIST_CONNECTOR";"MFR";"MFR_CONNECTOR";"MPN";"MPN_CONNECTOR";"MPN_CONNECTOR1";"MPN_CONNECTOR2";"QTY_CONNECTOR1";"QTY_CONNECTOR2";"QTY_PER_PACK";"TESTED";"VALUE";
"1";"(ID,OD)=(2.1,5.5)MM";"POWER_JACK-BARREL_ID2.1MM-OD5.5MMPTH";"POWER_JACK_PTH_ID2.1MM-OD5.5MM";"J1";"";"";"https://www.cui.com/product/resource/pj-059a.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=CP-059A-ND";"";"";"";"CP-059A-ND";"";"";"";"";"CUI Inc.";"";"PJ-059A";"";"";"";"";"";"";"";"";
"2";"0.1uF/50V";"0.1UF_SMD-805_50V-10%";"_CER_SMD-805";"C3, C4";"";"MrSwirlyEyes";"http://psearch.en.murata.com/capacitor/product/GRM21BR71H104KA01%23.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=490-1666-1-ND";"";"";"";"490-1666-1-ND";"";"";"";"";"Murata Electronics North America";"";"GRM21BR71H104KA01L";"";"";"";"";"";"";"NO";"0.1uF/50V";
"2";"0.22uF/50V";"0.22UF_SMD-805_50V-10%";"_CER_SMD-805";"C1, C2";"0.22µF ±10% 50V Ceramic Capacitor X5R 0402 (1005 Metric)";"MrSwirlyEyes";"http://psearch.en.murata.com/capacitor/product/GRM21BR71H224KA01%23.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=490-1670-1-ND";"";"";"";"490-1670-1-ND";"";"";"";"";"Murata Electronics North America";"";"GRM21BR71H224KA01L";"";"";"";"";"";"";"NO";"0.22uF/50V";
"2";"100UF/16V";"100UF-POLARIZED_SMD_16V-20%";"_AE_SMD_L6.6-W6.6";"C5, C6";"";"MrSwirlyEyes";"http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABA0120+EEEFK1C101P+7+WW";"";"Digikey";"https://www.digikey.com/products/en?keywords=PCE3783CT-ND";"";"";"";"PCE3783CT-ND";"";"";"";"";"Panasonic Electronic Components";"";"EEE-FK1C101P";"";"";"";"";"";"";"NO";"100UF/16V";
"3";"10KΩ";"10KΩ_SMD-0805_1/8W-5%";"RESISTOR_SMD-805";"R0, R1, R2";"";"Kenmei";"http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=311-10KARCT-ND";"";"";"";"311-10KARCT-ND";"";"";"";"";"Yageo";"";"RC0805JR-0710KL";"";"";"";"";"";"";"YES";"10KΩ";
"4";"10KΩ";"POTENTIOMETER_NO-MARKINGS_VERT-FEMALE";"CONNECTOR_POTENTIOMETER_NO-MARKINGS_FEMALE-HEADER";"POT1, POT2, POT3, POT4";"";"MrSwirlyEyes";"http://www.ttelectronics.com/sites/default/files/download-files/Datasheet_RotaryPanelPot_P160series.pdf";"http://sullinscorp.com/catalogs/101_PAGE114-115_.100_FEMALE_HDR.pdf";"Digikey";"https://www.digikey.com/products/en?keywords=987-1715-ND";"https://www.digikey.com/products/en?keywords=PPTC031LFBN-RC";"";"";"987-1715-ND";"S7001-ND";"";"";"Digikey";"TT Electronics/BI";"  Sullins Connector Solutions";"P160KN2-0QA25B10K";"PPTC031LFBN-RC";"";"";"";"";"";"";"10KΩ";
"2";"1A/50V";"DIODE_GENERAL-PURPOSE_SMD_GP_1A-50V";"SOD123F";"D4, D5";"";"MrSwirlyEyes";"http://www.comchiptech.com/cms/UserFiles/CGRKM4001-HF%20Thru.%20CGRKM4007-HF%20RevG.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=641-1511-1-ND";"";"";"";"641-1511-1-ND";"";"";"";"";"Comchip Technology";"";"CGRKM4001-HF";"";"";"";"";"";"";"NO";"1A/50V";
"2";"1KΩ";"1KΩ_SMD-0805_1/8W-5%";"RESISTOR_SMD-805";"R3, R4";"";"Kenmei";"http://www.yageo.com/documents/recent/PYu-RC_Group_51_RoHS_L_7.pdf";"";"Digikey";"https://www.digikey.com/product-detail/en/yageo/RC0805JR-071KL/311-1.0KARCT-ND/731165";"";"";"";"311-1.0KARCT-ND ";"";"";"";"";"Yageo";"";"RC0805JR-071KL ";"";"";"";"";"";"";"NO";"1KΩ";
"1";"220uF/16V";"220UF-POLARIZED_SMD_16V-20%";"_AE_SMD_L6.6-W6.6";"C0";"";"MrSwirlyEyes";"https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1240.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=P15089CT-ND";"";"";"";"P15089CT-ND";"";"";"";"";"Panasonic Electronic Components";"";"EEE-FT1C221AP";"";"";"";"";"";"";"NO";"220uF/16V";
"1";"2PT_GND_TIE";"2PT_GND_TIE";"2PT_GND_TIE";"SUPPLY14";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"50mA/12V";"SWITCH_MOMENTARYSPST-PTH-L12-W12-H7.2";"BTN_MOMENTARY_SPST-NO_PTH_L12-W12";"S2, S3";"";"MrSwirlyEyes";"https://www.sparkfun.com/datasheets/Components/Buttons/TSA12110%20TACT%20SWITCH.jpg";"";"Digikey";"https://www.digikey.com/products/en?keywords=1568-1332-ND";"";"";"";"1568-1332-ND";"";"";"";"";"SparkFun Electronics";"";"COM-10302";"";"";"";"";"";"";"";"50mA/12V";
"1";"5A/28V";"SWITCH_SPDT_VERT_PTH_5A-28V_13L-7W";"SW_TOGGLE_SPDT_5A-28V_13L-7W";"S1";"";"MrSwirlyEyes";"https://www.e-switch.com/system/asset/product_line/data_sheet/129/100.pdf";"";"Digikey";"https://www.digikey.com/products/en?keywords=%09EG2355-ND";"";"";"";"EG2355-ND";"";"";"";"";"E-Switch";"";"100SP1T1B4M2QE";"";"";"";"";"";"";"NO";"5A/28V";
"1";"7.4V";"BATTERY_LIPO_BATTERY";"DUAL_PTH_PADS";"LIPO";"Generic Dual SMD Pad for Bettery Soldering";"";"";"";"Amazon";"https://www.amazon.com/eBoot-Connector-Female-Cable-Battery/dp/B01M5AHF0Z/ref=sr_1_1_sspa?s=toys-and-games&ie=UTF8&qid=1523148739&sr=1-1-spons&keywords=lipo+battery+female+JST+Plug+Connector&psc=1";"";"";"";"B01M5AHF0Z";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";"7.4V";
